schema_version	batch_id	formula_id	package	crate_name	runtime_symbol	output_variable	contract_path	validation_card_path	source_seed_path	validation_status	test_strategy	test_expression
aerocodex.equation_batch.v1	a9-life-support-thinfilm-pde-rom	formula_vault.life_support.thinfilm.algal_biofilm.harvest_reset_thickness	aero-codex-life-support	aero_codex_life_support	thinfilm_algal_biofilm::harvest_reset_thickness	post_harvest_thickness	formula-vault/contracts/life_support_thinfilm_pde_rom_habitat_contract.yaml	validation/cards/life_support_thinfilm_algal_biofilm_pde_rom.yaml	validation/source_registry/life_support_blanken_2016.yaml	research_required	exact	matches!(aero_codex_life_support::thinfilm_algal_biofilm::harvest_reset_thickness(0.002), Ok(value) if value.value == 0.002)
aerocodex.equation_batch.v1	a9-life-support-thinfilm-pde-rom	formula_vault.life_support.thinfilm.algal_biofilm.mixture_component_rate	aero-codex-life-support	aero_codex_life_support	thinfilm_algal_biofilm::mixture_component_local_rate	mixture_component_rate	formula-vault/contracts/life_support_thinfilm_pde_rom_habitat_contract.yaml	validation/cards/life_support_thinfilm_algal_biofilm_pde_rom.yaml	validation/source_registry/life_support_polizzi_2022.yaml	research_required	exact	matches!(aero_codex_life_support::thinfilm_algal_biofilm::mixture_component_local_rate(2.0, 5.0), Ok(value) if value.value == 3.0)
aerocodex.equation_batch.v1	a9-life-support-thinfilm-pde-rom	formula_vault.life_support.thinfilm.algal_biofilm.mixture_closure_residual	aero-codex-life-support	aero_codex_life_support	thinfilm_algal_biofilm::mixture_closure_residual	mixture_closure_residual	formula-vault/contracts/life_support_thinfilm_pde_rom_habitat_contract.yaml	validation/cards/life_support_thinfilm_algal_biofilm_pde_rom.yaml	validation/source_registry/life_support_polizzi_2022.yaml	research_required	tolerance	matches!(aero_codex_life_support::thinfilm_algal_biofilm::mixture_closure_residual(&[0.2, 0.3, 0.5]), Ok(value) if value.value.abs() <= 1.0e-12)
aerocodex.equation_batch.v1	a9-life-support-thinfilm-pde-rom	formula_vault.life_support.thinfilm.algal_biofilm.dissolved_species_rate	aero-codex-life-support	aero_codex_life_support	thinfilm_algal_biofilm::dissolved_species_local_rate	dissolved_species_rate	formula-vault/contracts/life_support_thinfilm_pde_rom_habitat_contract.yaml	validation/cards/life_support_thinfilm_algal_biofilm_pde_rom.yaml	validation/source_registry/life_support_polizzi_2022.yaml	research_required	exact	matches!(aero_codex_life_support::thinfilm_algal_biofilm::dissolved_species_local_rate(2.0, 5.0, 7.0), Ok(value) if value.value == 10.0)
aerocodex.equation_batch.v1	a9-life-support-thinfilm-pde-rom	formula_vault.life_support.thinfilm.algal_biofilm.light_2d	aero-codex-life-support	aero_codex_life_support	thinfilm_algal_biofilm::two_dimensional_light_attenuation	attenuated_light	formula-vault/contracts/life_support_thinfilm_pde_rom_habitat_contract.yaml	validation/cards/life_support_thinfilm_algal_biofilm_pde_rom.yaml	validation/source_registry/life_support_polizzi_2022.yaml	research_required	tolerance	matches!(aero_codex_life_support::thinfilm_algal_biofilm::two_dimensional_light_attenuation(100.0, 0.8), Ok(value) if (value.value - 100.0_f64 * (-0.8_f64).exp()).abs() <= 1.0e-12)
aerocodex.equation_batch.v1	a9-life-support-thinfilm-pde-rom	formula_vault.life_support.thinfilm.algal_biofilm.carbon_boundary_flux	aero-codex-life-support	aero_codex_life_support	thinfilm_algal_biofilm::boundary_mass_transfer_residual	boundary_mass_transfer_residual	formula-vault/contracts/life_support_thinfilm_pde_rom_habitat_contract.yaml	validation/cards/life_support_thinfilm_algal_biofilm_pde_rom.yaml	validation/source_registry/life_support_polizzi_2022.yaml	research_required	exact	matches!(aero_codex_life_support::thinfilm_algal_biofilm::boundary_mass_transfer_residual(2.0, -3.0, 2.0, 5.0, 2.0), Ok(value) if value.value == 0.0)
aerocodex.equation_batch.v1	a9-life-support-thinfilm-pde-rom	formula_vault.life_support.thinfilm.algal_biofilm.nitrate_boundary_residual	aero-codex-life-support	aero_codex_life_support	thinfilm_algal_biofilm::nitrate_boundary_residual	nitrate_boundary_residual	formula-vault/contracts/life_support_thinfilm_pde_rom_habitat_contract.yaml	validation/cards/life_support_thinfilm_algal_biofilm_pde_rom.yaml	validation/source_registry/life_support_polizzi_2022.yaml	research_required	exact	matches!(aero_codex_life_support::thinfilm_algal_biofilm::nitrate_boundary_residual(4.0, 4.0), Ok(value) if value.value == 0.0)
aerocodex.equation_batch.v1	a9-life-support-thinfilm-pde-rom	formula_vault.life_support.thinfilm.rom.service_vector	aero-codex-life-support	aero_codex_life_support	thinfilm_algal_biofilm::thinfilm_service_vector	service_vector	formula-vault/contracts/life_support_thinfilm_pde_rom_habitat_contract.yaml	validation/cards/life_support_thinfilm_algal_biofilm_pde_rom.yaml	validation/source_registry/life_support_polizzi_2022.yaml	research_required	exact	matches!(aero_codex_life_support::thinfilm_algal_biofilm::thinfilm_service_vector(1.0, 2.0, 3.0, 4.0, 0.5), Ok(value) if value.value.as_array() == [1.0, 2.0, 3.0, 4.0, 0.5])
aerocodex.equation_batch.v1	a9-life-support-thinfilm-pde-rom	formula_vault.life_support.thinfilm.rom.linear_service	aero-codex-life-support	aero_codex_life_support	thinfilm_algal_biofilm::linear_rom_service	rom_service_vector	formula-vault/contracts/life_support_thinfilm_pde_rom_habitat_contract.yaml	validation/cards/life_support_thinfilm_algal_biofilm_pde_rom.yaml	validation/source_registry/life_support_polizzi_2022.yaml	research_required	exact	matches!(aero_codex_life_support::thinfilm_algal_biofilm::linear_rom_service(&[vec![1.0, 2.0], vec![0.0, 3.0]], &[10.0, 2.0], &[1.0, -1.0]), Ok(value) if value.value == vec![15.0, 5.0])
aerocodex.equation_batch.v1	a9-life-support-thinfilm-pde-rom	formula_vault.life_support.thinfilm.rom.habitat_coupled_derivative	aero-codex-life-support	aero_codex_life_support	thinfilm_algal_biofilm::habitat_coupled_derivative	habitat_derivative_vector	formula-vault/contracts/life_support_thinfilm_pde_rom_habitat_contract.yaml	validation/cards/life_support_thinfilm_algal_biofilm_pde_rom.yaml	validation/source_registry/life_support_garcia_2021.yaml	research_required	exact	matches!(aero_codex_life_support::thinfilm_algal_biofilm::habitat_coupled_derivative(&[1.0, 2.0], &[vec![1.0, 0.0], vec![0.0, 1.0]], &[3.0, 4.0], &[0.5, 1.5]), Ok(value) if value.value == vec![3.5, 4.5])
