schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a35_attitude_frame_policy_wave2_row_1129	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1129	1129	rb_dcm_to_ypr	rb_dcm_to_ypr	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section04_rigid_body_attitude_scilab/src/rb_rotations.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	10A_attitude_quaternion_DCM_contracts											research_required	blocked_until_attitude_representation_and_inertia_policy	Classifier row remains blocked until attitude representation, inertia tensor, quaternion/DCM convention, reference-frame orientation, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A35.
aerocodex.external_m07_resolution.v1	a35_attitude_frame_policy_wave2_row_1130	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1130	1130	rb_dcm_ypr	rb_dcm_ypr	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section04_rigid_body_attitude_scilab/src/rb_rotations.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	10A_attitude_quaternion_DCM_contracts											research_required	blocked_until_attitude_representation_and_inertia_policy	Classifier row remains blocked until attitude representation, inertia tensor, quaternion/DCM convention, reference-frame orientation, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A35.
aerocodex.external_m07_resolution.v1	a35_attitude_frame_policy_wave2_row_1131	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1131	1131	rb_project_dcm	rb_project_dcm	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section04_rigid_body_attitude_scilab/src/rb_rotations.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	10A_attitude_quaternion_DCM_contracts											research_required	blocked_until_attitude_representation_and_inertia_policy	Classifier row remains blocked until attitude representation, inertia tensor, quaternion/DCM convention, reference-frame orientation, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A35.
aerocodex.external_m07_resolution.v1	a35_attitude_frame_policy_wave2_row_1133	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1133	1133	rb_to_inertial	rb_to_inertial	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section04_rigid_body_attitude_scilab/src/rb_rotations.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	10A_attitude_quaternion_DCM_contracts											research_required	blocked_until_attitude_representation_and_inertia_policy	Classifier row remains blocked until attitude representation, inertia tensor, quaternion/DCM convention, reference-frame orientation, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A35.
aerocodex.external_m07_resolution.v1	a35_attitude_frame_policy_wave2_row_1143	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1143	1143	rb_skew	rb_skew	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section04_rigid_body_attitude_scilab/src/rb_vector.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	10A_attitude_quaternion_DCM_contracts											research_required	blocked_until_attitude_representation_and_inertia_policy	Classifier row remains blocked until attitude representation, inertia tensor, quaternion/DCM convention, reference-frame orientation, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A35.
aerocodex.external_m07_resolution.v1	a35_attitude_frame_policy_wave2_row_1147	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1147	1147	ac_axis_angle_dcm	ac_axis_angle_dcm	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/ac_utils.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	10A_attitude_quaternion_DCM_contracts											research_required	blocked_until_attitude_representation_and_inertia_policy	Classifier row remains blocked until attitude representation, inertia tensor, quaternion/DCM convention, reference-frame orientation, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A35.
aerocodex.external_m07_resolution.v1	a35_attitude_frame_policy_wave2_row_1151	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1151	1151	ac_dcm_to_quat	ac_dcm_to_quat	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/ac_utils.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	10A_attitude_quaternion_DCM_contracts											research_required	blocked_until_attitude_representation_and_inertia_policy	Classifier row remains blocked until attitude representation, inertia tensor, quaternion/DCM convention, reference-frame orientation, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A35.
aerocodex.external_m07_resolution.v1	a35_attitude_frame_policy_wave2_row_1155	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1155	1155	ac_quat_conj	ac_quat_conj	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/ac_utils.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	10A_attitude_quaternion_DCM_contracts											research_required	blocked_until_attitude_representation_and_inertia_policy	Classifier row remains blocked until attitude representation, inertia tensor, quaternion/DCM convention, reference-frame orientation, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A35.
aerocodex.external_m07_resolution.v1	a35_attitude_frame_policy_wave2_row_1157	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1157	1157	ac_quat_from_axis_angle	ac_quat_from_axis_angle	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/ac_utils.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	10A_attitude_quaternion_DCM_contracts											research_required	blocked_until_attitude_representation_and_inertia_policy	Classifier row remains blocked until attitude representation, inertia tensor, quaternion/DCM convention, reference-frame orientation, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A35.
aerocodex.external_m07_resolution.v1	a35_attitude_frame_policy_wave2_row_1158	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1158	1158	ac_quat_mult	ac_quat_mult	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section05_attitude_control_scilab/src/ac_utils.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	10A_attitude_quaternion_DCM_contracts											research_required	blocked_until_attitude_representation_and_inertia_policy	Classifier row remains blocked until attitude representation, inertia tensor, quaternion/DCM convention, reference-frame orientation, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A35.
