schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a42.external_m07.classifier_refresh_manual_source_review_wave1.row_0489	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0489	489	app_stumpff_c	foa_app_ast_app_stumpff_C	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_predict_kepler_gauss.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_classifier_refresh_or_manual_source_review	A42 metadata-only block: family contract, source-locator review, classifier-refresh policy, and validation-evidence policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a42.external_m07.classifier_refresh_manual_source_review_wave1.row_0490	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0490	490	app_stumpff_s	foa_app_ast_app_stumpff_S	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_predict_kepler_gauss.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_classifier_refresh_or_manual_source_review	A42 metadata-only block: family contract, source-locator review, classifier-refresh policy, and validation-evidence policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a42.external_m07.classifier_refresh_manual_source_review_wave1.row_0492	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0492	492	app_elements_from_rv	foa_app_ast_app_elements_from_rv	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_predict_kepler_gauss.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_classifier_refresh_or_manual_source_review	A42 metadata-only block: family contract, source-locator review, classifier-refresh policy, and validation-evidence policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a42.external_m07.classifier_refresh_manual_source_review_wave1.row_0494	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0494	494	app_true_to_eccentric_elliptic	foa_app_ast_app_true_to_eccentric_elliptic	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_predict_kepler_gauss.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_classifier_refresh_or_manual_source_review	A42 metadata-only block: family contract, source-locator review, classifier-refresh policy, and validation-evidence policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a42.external_m07.classifier_refresh_manual_source_review_wave1.row_0495	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0495	495	app_true_to_eccentric_hyperbolic	foa_app_ast_app_true_to_eccentric_hyperbolic	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_predict_kepler_gauss.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_classifier_refresh_or_manual_source_review	A42 metadata-only block: family contract, source-locator review, classifier-refresh policy, and validation-evidence policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a42.external_m07.classifier_refresh_manual_source_review_wave1.row_0498	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0498	498	app_predict_object	foa_app_ast_app_predict_object	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_predict_kepler_gauss.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_classifier_refresh_or_manual_source_review	A42 metadata-only block: family contract, source-locator review, classifier-refresh policy, and validation-evidence policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a42.external_m07.classifier_refresh_manual_source_review_wave1.row_0501	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0501	501	app_transfer_hits_earth	foa_app_ast_app_transfer_hits_earth	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_predict_kepler_gauss.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_classifier_refresh_or_manual_source_review	A42 metadata-only block: family contract, source-locator review, classifier-refresh policy, and validation-evidence policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a42.external_m07.classifier_refresh_manual_source_review_wave1.row_0509	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0509	509	app_site	foa_app_ast_app_site	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_sitetrack.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_classifier_refresh_or_manual_source_review	A42 metadata-only block: family contract, source-locator review, classifier-refresh policy, and validation-evidence policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a42.external_m07.classifier_refresh_manual_source_review_wave1.row_0511	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0511	511	app_track	foa_app_ast_app_track	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_sitetrack.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_classifier_refresh_or_manual_source_review	A42 metadata-only block: family contract, source-locator review, classifier-refresh policy, and validation-evidence policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a42.external_m07.classifier_refresh_manual_source_review_wave1.row_0512	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0512	512	app_sitetrack_from_physical	foa_app_ast_app_sitetrack_from_physical	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_sitetrack.sci	ambiguous_source_or_contract	medium_risk_requires_contract_review	10E_classifier_refresh_or_manual_source_review											research_required	blocked_until_classifier_refresh_or_manual_source_review	A42 metadata-only block: family contract, source-locator review, classifier-refresh policy, and validation-evidence policy required before runtime promotion.
