schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	resolution.external_m07.coordinate_transform_frame_time_policy_wave2.0405	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0405	405	ch5::los_matrix_from_ra_dec	foa_ch05_ast_los_matrix_from_ra_dec	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch05_scilab_astrodynamics/src/optical/ast_ch5_sighting_directions.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	9B_coordinate_transform_contracts_after_frame_policy											research_required	blocked_until_coordinate_frame_sign_and_rotation_order_contract	Classifier row remains blocked until coordinate-frame sign, axis order, rotation order, round-trip contract, source registry, and independent coordinate-transform oracles are explicitly approved; no runtime alias or implementation claim is made in A27.
aerocodex.external_m07_resolution.v1	resolution.external_m07.coordinate_transform_frame_time_policy_wave2.0465	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0465	465	ch6::velocity_sez_from_speed_angles	foa_ch06_ast_velocity_sez_from_speed_angles	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch06_scilab_astrodynamics/src/core/ast_ch6_core.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	9B_coordinate_transform_contracts_after_frame_policy											research_required	blocked_until_coordinate_frame_sign_and_rotation_order_contract	Classifier row remains blocked until coordinate-frame sign, axis order, rotation order, round-trip contract, source registry, and independent coordinate-transform oracles are explicitly approved; no runtime alias or implementation claim is made in A27.
aerocodex.external_m07_resolution.v1	resolution.external_m07.coordinate_transform_frame_time_policy_wave2.0466	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0466	466	ch6::speed_angles_from_velocity_sez	foa_ch06_ast_speed_angles_from_velocity_sez	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch06_scilab_astrodynamics/src/core/ast_ch6_core.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	9B_coordinate_transform_contracts_after_frame_policy											research_required	blocked_until_coordinate_frame_sign_and_rotation_order_contract	Classifier row remains blocked until coordinate-frame sign, axis order, rotation order, round-trip contract, source registry, and independent coordinate-transform oracles are explicitly approved; no runtime alias or implementation claim is made in A27.
aerocodex.external_m07_resolution.v1	resolution.external_m07.coordinate_transform_frame_time_policy_wave2.0487	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0487	487	ch6::earth_omega_from_sidereal_day	foa_ch06_ast_earth_omega_from_sidereal_day	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch06_scilab_astrodynamics/src/rotation/ast_ch6_rotating_earth.sci	time_scale_sensitive	blocked_until_frame_time_policy	9B_time_scale_and_sidereal_policy											research_required	blocked_until_epoch_time_scale_and_sidereal_policy	Classifier row remains blocked until epoch, time-scale, and sidereal-day policy, source registry, and independent time oracles are explicitly approved; no runtime alias or implementation claim is made in A27.
aerocodex.external_m07_resolution.v1	resolution.external_m07.coordinate_transform_frame_time_policy_wave2.0493	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0493	493	app_state_from_pqw	foa_app_ast_app_state_from_pqw	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_predict_kepler_gauss.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	9B_coordinate_transform_contracts_after_frame_policy											research_required	blocked_until_coordinate_frame_sign_and_rotation_order_contract	Classifier row remains blocked until coordinate-frame sign, axis order, rotation order, round-trip contract, source registry, and independent coordinate-transform oracles are explicitly approved; no runtime alias or implementation claim is made in A27.
aerocodex.external_m07_resolution.v1	resolution.external_m07.coordinate_transform_frame_time_policy_wave2.0506	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0506	506	app_lstime_1970	foa_app_ast_app_lstime_1970	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_sitetrack.sci	time_scale_sensitive	blocked_until_frame_time_policy	9B_time_scale_and_sidereal_policy											research_required	blocked_until_epoch_time_scale_and_sidereal_policy	Classifier row remains blocked until epoch, time-scale, and sidereal-day policy, source registry, and independent time oracles are explicitly approved; no runtime alias or implementation claim is made in A27.
aerocodex.external_m07_resolution.v1	resolution.external_m07.coordinate_transform_frame_time_policy_wave2.0507	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0507	507	app_sez_to_ijk_matrix	foa_app_ast_app_sez_to_ijk_matrix	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_sitetrack.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	9B_coordinate_transform_contracts_after_frame_policy											research_required	blocked_until_coordinate_frame_sign_and_rotation_order_contract	Classifier row remains blocked until coordinate-frame sign, axis order, rotation order, round-trip contract, source registry, and independent coordinate-transform oracles are explicitly approved; no runtime alias or implementation claim is made in A27.
aerocodex.external_m07_resolution.v1	resolution.external_m07.coordinate_transform_frame_time_policy_wave2.0508	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0508	508	app_ijk_to_sez_matrix	foa_app_ast_app_ijk_to_sez_matrix	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_sitetrack.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	9B_coordinate_transform_contracts_after_frame_policy											research_required	blocked_until_coordinate_frame_sign_and_rotation_order_contract	Classifier row remains blocked until coordinate-frame sign, axis order, rotation order, round-trip contract, source registry, and independent coordinate-transform oracles are explicitly approved; no runtime alias or implementation claim is made in A27.
aerocodex.external_m07_resolution.v1	resolution.external_m07.coordinate_transform_frame_time_policy_wave2.0510	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0510	510	app_radar_observation_sez	foa_app_ast_app_radar_observation_sez	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_sitetrack.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	9B_coordinate_transform_contracts_after_frame_policy											research_required	blocked_until_coordinate_frame_sign_and_rotation_order_contract	Classifier row remains blocked until coordinate-frame sign, axis order, rotation order, round-trip contract, source registry, and independent coordinate-transform oracles are explicitly approved; no runtime alias or implementation claim is made in A27.
aerocodex.external_m07_resolution.v1	resolution.external_m07.coordinate_transform_frame_time_policy_wave2.0529	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0529	529	damped_oscillator_exact	damped_oscillator_exact	source_scilab/curtis_section09_numerical_algorithms/src/damped_oscillator_exact.sci	coordinate_transform_sensitive	medium_risk_requires_contract_review	9B_coordinate_transform_contracts_after_frame_policy											research_required	blocked_until_coordinate_frame_sign_and_rotation_order_contract	Classifier row remains blocked until coordinate-frame sign, axis order, rotation order, round-trip contract, source registry, and independent coordinate-transform oracles are explicitly approved; no runtime alias or implementation claim is made in A27.
