schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0502	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0502	502	app_sitetrack_dataset1	foa_app_ast_app_sitetrack_dataset1	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_project_data.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0503	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0503	503	app_predict_sample_data	foa_app_ast_app_predict_sample_data	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_project_data.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0504	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0504	504	app_gauss_sample_data	foa_app_ast_app_gauss_sample_data	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_project_data.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0505	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0505	505	app_intercept_sample_data	foa_app_ast_app_intercept_sample_data	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/appendices_scilab_astrodynamics/src/projects/ast_app_project_data.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0519	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0519	519	astro_print_orbit_summary	astro_print_orbit_summary	source_scilab/curtis_section09_numerical_algorithms/src/astro_print_orbit_summary.sci	ambiguous_source_or_contract	do_not_import	10D_do_not_import_io_demo_utility_rows											research_required	excluded_input_output_demo_or_reporting_row_not_public_formula	A41 metadata-only exclusion: input/output, plotting, reporting, or demonstration utility row is not a public formula candidate.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0543	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0543	543	ode_rk_tableau	ode_rk_tableau	source_scilab/curtis_section09_numerical_algorithms/src/ode_rk_tableau.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0572	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0572	572	fb_print_burn_report	fb_print_burn_report	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	ambiguous_source_or_contract	do_not_import	10D_do_not_import_io_demo_utility_rows											research_required	excluded_input_output_demo_or_reporting_row_not_public_formula	A41 metadata-only exclusion: input/output, plotting, reporting, or demonstration utility row is not a public formula candidate.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0573	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0573	573	fb_print_vec	fb_print_vec	source_scilab/curtis_section03_finite_burn_scilab/src/finite_burn_lib.sci	ambiguous_source_or_contract	do_not_import	10D_do_not_import_io_demo_utility_rows											research_required	excluded_input_output_demo_or_reporting_row_not_public_formula	A41 metadata-only exclusion: input/output, plotting, reporting, or demonstration utility row is not a public formula candidate.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0595	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0595	595	ga_print_flyby_2d	ga_print_flyby_2d	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_flyby_2d.sci	ambiguous_source_or_contract	do_not_import	10D_do_not_import_io_demo_utility_rows											research_required	excluded_input_output_demo_or_reporting_row_not_public_formula	A41 metadata-only exclusion: input/output, plotting, reporting, or demonstration utility row is not a public formula candidate.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0717	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0717	717	ch7_lunar_flight_table	foa_ch07_ast_ch7_lunar_flight_table	source_scilab/ch7_simple/ast_ch7_simple_trajectories.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0761	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0761	761	ch8_planet_names	foa_ch08_ast8_planet_names	source_scilab/ch8_solar_system/ast_ch8_solar_system.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0762	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0762	762	ch8_planet_orbital_elements_table	foa_ch08_ast8_planet_orbital_elements_table	source_scilab/ch8_solar_system/ast_ch8_solar_system.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0763	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0763	763	ch8_planet_physical_table	foa_ch08_ast8_planet_physical_table	source_scilab/ch8_solar_system/ast_ch8_solar_system.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0769	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0769	769	ch8_bode_table	foa_ch08_ast8_bode_table	source_scilab/ch8_solar_system/ast_ch8_solar_system.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0776	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0776	776	ch8_synodic_period_table_years	foa_ch08_ast8_synodic_period_table_years	source_scilab/ch8_solar_system/ast_ch8_solar_system.sci	external_data_required	blocked_until_source_review	10D_external_data_table_and_fixture_governance											research_required	blocked_until_external_data_fixture_registry_policy	A41 metadata-only block: external table, sample-data, fixture provenance, source-registry, and data-governance policy required before runtime promotion.
aerocodex.external_m07_resolution.v1	a41.external_m07.cr3bp_external_data_policy_wave1.row_0900	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0900	900	cr3bp_accel_2d	cr3bp_accel_2d	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/cr3bp/cr3bp_accel_2d.sci	blocked_until_policy	high_risk_requires_numerical_policy	10E_CR3BP_family_policy_and_oracle_before_promotion											research_required	blocked_until_cr3bp_family_taxonomy_oracle_policy	A41 metadata-only block: CR3BP family taxonomy, rotating-frame contract, numerical-method policy, and independent oracle fixtures required before runtime promotion.
