schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a37_j2_perturbation_policy_wave1_row_0057	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0057	57	relative_perturbed_accel	foa_ch01_ast_relative_perturbed_accel	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/dynamics/ast_ch1_two_body.sci	perturbation_or_J2	high_risk_requires_numerical_policy	10B_J2_perturbation_and_numerical_policy											research_required	blocked_until_J2_perturbation_model_and_numerical_validation_policy	Classifier row remains blocked until J2 perturbation force-model scope, numerical integration policy, frame/time conventions, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A37.
aerocodex.external_m07_resolution.v1	a37_j2_perturbation_policy_wave1_row_0267	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0267	267	j2_raan_rate	foa_ch03_ast_j2_raan_rate	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/perturbations/ast_ch3_j2_rates.sci	perturbation_or_J2	high_risk_requires_numerical_policy	10B_J2_perturbation_and_numerical_policy											research_required	blocked_until_J2_perturbation_model_and_numerical_validation_policy	Classifier row remains blocked until J2 perturbation force-model scope, numerical integration policy, frame/time conventions, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A37.
aerocodex.external_m07_resolution.v1	a37_j2_perturbation_policy_wave1_row_0268	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0268	268	j2_argp_rate	foa_ch03_ast_j2_argp_rate	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/perturbations/ast_ch3_j2_rates.sci	perturbation_or_J2	high_risk_requires_numerical_policy	10B_J2_perturbation_and_numerical_policy											research_required	blocked_until_J2_perturbation_model_and_numerical_validation_policy	Classifier row remains blocked until J2 perturbation force-model scope, numerical integration policy, frame/time conventions, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A37.
aerocodex.external_m07_resolution.v1	a37_j2_perturbation_policy_wave1_row_0269	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0269	269	j2_secular_rates	foa_ch03_ast_j2_secular_rates	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/perturbations/ast_ch3_j2_rates.sci	perturbation_or_J2	high_risk_requires_numerical_policy	10B_J2_perturbation_and_numerical_policy											research_required	blocked_until_J2_perturbation_model_and_numerical_validation_policy	Classifier row remains blocked until J2 perturbation force-model scope, numerical integration policy, frame/time conventions, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A37.
aerocodex.external_m07_resolution.v1	a37_j2_perturbation_policy_wave1_row_0270	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0270	270	j2_critical_inclinations	foa_ch03_ast_j2_critical_inclinations	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/perturbations/ast_ch3_j2_rates.sci	perturbation_or_J2	high_risk_requires_numerical_policy	10B_J2_perturbation_and_numerical_policy											research_required	blocked_until_J2_perturbation_model_and_numerical_validation_policy	Classifier row remains blocked until J2 perturbation force-model scope, numerical integration policy, frame/time conventions, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A37.
aerocodex.external_m07_resolution.v1	a37_j2_perturbation_policy_wave1_row_0271	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0271	271	inclination_for_j2_raan_rate	foa_ch03_ast_inclination_for_j2_raan_rate	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/perturbations/ast_ch3_j2_rates.sci	perturbation_or_J2	high_risk_requires_numerical_policy	10B_J2_perturbation_and_numerical_policy											research_required	blocked_until_J2_perturbation_model_and_numerical_validation_policy	Classifier row remains blocked until J2 perturbation force-model scope, numerical integration policy, frame/time conventions, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A37.
aerocodex.external_m07_resolution.v1	a37_j2_perturbation_policy_wave1_row_0276	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0276	276	j2_rates_earth_canonical	foa_ch03_ast_j2_rates_earth_canonical	source_scilab_extracted_locator/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch03_scilab_astrodynamics/src/perturbations/ast_ch3_j2_rates.sci	perturbation_or_J2	high_risk_requires_numerical_policy	10B_J2_perturbation_and_numerical_policy											research_required	blocked_until_J2_perturbation_model_and_numerical_validation_policy	Classifier row remains blocked until J2 perturbation force-model scope, numerical integration policy, frame/time conventions, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A37.
aerocodex.external_m07_resolution.v1	a37_j2_perturbation_policy_wave1_row_0809	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0809	809	foa_ch09_ast9_atan2	foa_ch09_ast9_atan2	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/core/ast_ch9_core.sci	perturbation_or_J2	high_risk_requires_numerical_policy	10B_J2_perturbation_and_numerical_policy											research_required	blocked_until_J2_perturbation_model_and_numerical_validation_policy	Classifier row remains blocked until J2 perturbation force-model scope, numerical integration policy, frame/time conventions, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A37.
aerocodex.external_m07_resolution.v1	a37_j2_perturbation_policy_wave1_row_0811	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0811	811	foa_ch09_ast9_clamp	foa_ch09_ast9_clamp	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/core/ast_ch9_core.sci	perturbation_or_J2	high_risk_requires_numerical_policy	10B_J2_perturbation_and_numerical_policy											research_required	blocked_until_J2_perturbation_model_and_numerical_validation_policy	Classifier row remains blocked until J2 perturbation force-model scope, numerical integration policy, frame/time conventions, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A37.
aerocodex.external_m07_resolution.v1	a37_j2_perturbation_policy_wave1_row_0812	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0812	812	foa_ch09_ast9_coe_p_to_rv	foa_ch09_ast9_coe_p_to_rv	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/core/ast_ch9_core.sci	perturbation_or_J2	high_risk_requires_numerical_policy	10B_J2_perturbation_and_numerical_policy											research_required	blocked_until_J2_perturbation_model_and_numerical_validation_policy	Classifier row remains blocked until J2 perturbation force-model scope, numerical integration policy, frame/time conventions, source registry, and independent validation oracles are explicitly approved; no runtime alias or implementation claim is made in A37.
