schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave7.0600	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0600	600	ga_required_flyby_for_vout_3d	ga_required_flyby_for_vout_3d	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_flyby_3d.sci	orbit_two_body	high_risk_requires_numerical_policy	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_inverse_gravity_assist_frame_branch_and_numerical_policy	inverse three-dimensional gravity-assist relation requires explicit incoming and outgoing frame conventions branch selection body orientation feasible domain and numerical reference-oracle policy
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave7.0601	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0601	601	ga_aiming_radius_from_h_e	ga_aiming_radius_from_h_e	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_hyperbola.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_gravity_assist_hyperbola_branch_units_and_numerical_contract	gravity-assist hyperbola relation requires explicit asymptote and periapsis inputs gravitational-parameter units hyperbolic branch angle convention feasible domain numerical tolerance and reference-oracle policy
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave7.0602	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0602	602	ga_aiming_radius_from_vinf_rp	ga_aiming_radius_from_vinf_rp	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_hyperbola.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_gravity_assist_hyperbola_branch_units_and_numerical_contract	gravity-assist hyperbola relation requires explicit asymptote and periapsis inputs gravitational-parameter units hyperbolic branch angle convention feasible domain numerical tolerance and reference-oracle policy
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave7.0603	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0603	603	ga_approach_from_offset	ga_approach_from_offset	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_hyperbola.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_gravity_assist_hyperbola_branch_units_and_numerical_contract	gravity-assist hyperbola relation requires explicit asymptote and periapsis inputs gravitational-parameter units hyperbolic branch angle convention feasible domain numerical tolerance and reference-oracle policy
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave7.0604	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0604	604	ga_beta_from_e	ga_beta_from_e	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_hyperbola.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_gravity_assist_hyperbola_branch_units_and_numerical_contract	gravity-assist hyperbola relation requires explicit asymptote and periapsis inputs gravitational-parameter units hyperbolic branch angle convention feasible domain numerical tolerance and reference-oracle policy
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave7.0605	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0605	605	ga_delta_vinf_magnitude	ga_delta_vinf_magnitude	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_hyperbola.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_gravity_assist_velocity_frame_units_and_numerical_contract	gravity-assist velocity relation requires explicit incoming and outgoing frame conventions velocity units vector orientation nonfinite policy and numerical validation oracle
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave7.0606	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0606	606	ga_hyperbola_e_from_vinf_rp	ga_hyperbola_e_from_vinf_rp	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_hyperbola.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_gravity_assist_hyperbola_branch_units_and_numerical_contract	gravity-assist hyperbola relation requires explicit asymptote and periapsis inputs gravitational-parameter units hyperbolic branch angle convention feasible domain numerical tolerance and reference-oracle policy
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave7.0607	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0607	607	ga_hyperbola_from_e_rp	ga_hyperbola_from_e_rp	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_hyperbola.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	excluded_composite_hyperbola_parameter_bundle_helper_not_formula	hyperbola parameter-bundle construction returns multiple coupled quantities and is a composite support helper rather than a separate formula node
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave7.0608	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0608	608	ga_hyperbola_from_vinf_rp	ga_hyperbola_from_vinf_rp	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_hyperbola.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	excluded_composite_hyperbola_parameter_bundle_helper_not_formula	hyperbola parameter-bundle construction returns multiple coupled quantities and is a composite support helper rather than a separate formula node
aerocodex.external_m07_resolution.v1	resolution.external_m07.orbital_geometry_conic_wave7.0609	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0609	609	ga_hyperbola_h_from_vinf_rp	ga_hyperbola_h_from_vinf_rp	source_scilab/curtis_section07_gravity_assist_scilab/src/ga_hyperbola.sci	orbit_two_body	medium_risk_requires_contract_review	9A_classical_elements_and_9E_mission_design_contracts											research_required	blocked_until_gravity_assist_hyperbola_branch_units_and_numerical_contract	gravity-assist hyperbola relation requires explicit asymptote and periapsis inputs gravitational-parameter units hyperbolic branch angle convention feasible domain numerical tolerance and reference-oracle policy
