schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a32_relative_motion_finite_burn_policy_wave2_row_0972	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0972	972	coe2rv_from_h	coe2rv_from_h	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/rotations_coe.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A32.
aerocodex.external_m07_resolution.v1	a32_relative_motion_finite_burn_policy_wave2_row_0976	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0976	976	rv2coe_basic	rv2coe_basic	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/rotations_coe.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A32.
aerocodex.external_m07_resolution.v1	a32_relative_motion_finite_burn_policy_wave2_row_0977	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0977	977	circular_period	circular_period	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/two_body_basic.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A32.
aerocodex.external_m07_resolution.v1	a32_relative_motion_finite_burn_policy_wave2_row_0978	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0978	978	circular_speed	circular_speed	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/two_body_basic.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A32.
aerocodex.external_m07_resolution.v1	a32_relative_motion_finite_burn_policy_wave2_row_0979	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0979	979	mean_motion_circular	mean_motion_circular	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/two_body_basic.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A32.
aerocodex.external_m07_resolution.v1	a32_relative_motion_finite_burn_policy_wave2_row_0980	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0980	980	specific_angular_momentum	specific_angular_momentum	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/two_body_basic.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A32.
aerocodex.external_m07_resolution.v1	a32_relative_motion_finite_burn_policy_wave2_row_0981	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0981	981	specific_energy	specific_energy	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/two_body_basic.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A32.
aerocodex.external_m07_resolution.v1	a32_relative_motion_finite_burn_policy_wave2_row_0982	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0982	982	twobody_accel	twobody_accel	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/two_body_basic.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A32.
aerocodex.external_m07_resolution.v1	a32_relative_motion_finite_burn_policy_wave2_row_0983	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0983	983	twobody_derivs	twobody_derivs	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/two_body_basic.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A32.
aerocodex.external_m07_resolution.v1	a32_relative_motion_finite_burn_policy_wave2_row_0986	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0986	986	clamp_scalar	clamp_scalar	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/vec_utils.sci	frame_graph_sensitive	blocked_until_frame_time_policy	9D_relative_motion_CW_LVLH_policy											research_required	blocked_until_relative_motion_frame_and_linearization_policy	Classifier row remains blocked until relative-motion frame definitions, local-vertical/local-horizontal conventions, linearization domain, reference-orbit assumptions, maneuver targeting contracts, and independent frame-aware validation oracles are explicitly approved; no runtime alias or implementation claim is made in A32.
