schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0885	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0885	885	foa_ch09_ast9_universal_kepler_residual	foa_ch09_ast9_universal_kepler_residual	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/universal/ast_ch9_universal.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0886	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0886	886	foa_ch09_ast9_universal_radius_from_x	foa_ch09_ast9_universal_radius_from_x	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/universal/ast_ch9_universal.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0887	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0887	887	foa_ch09_ast9_universal_solve_x	foa_ch09_ast9_universal_solve_x	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/universal/ast_ch9_universal.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0888	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0888	888	foa_ch09_ast9_universal_z	foa_ch09_ast9_universal_z	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/universal/ast_ch9_universal.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0893	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0893	893	foa_ch09_ast9_propagate_variation_fixed	foa_ch09_ast9_propagate_variation_fixed	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/variation/ast_ch9_variation_elements.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0894	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0894	894	foa_ch09_ast9_solve_kepler_e	foa_ch09_ast9_solve_kepler_E	source_scilab/Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch09_scilab_astrodynamics/src/variation/ast_ch9_variation_elements.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0905	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0905	905	cr3bp_propagate_2d	cr3bp_propagate_2d	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/cr3bp/cr3bp_propagate_2d.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0906	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0906	906	cr3bp_propagate_3d	cr3bp_propagate_3d	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/cr3bp/cr3bp_propagate_3d.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0909	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0909	909	cr3bp_rkf45_step_2d	cr3bp_rkf45_step_2d	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/cr3bp/cr3bp_rkf45_step_2d.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0910	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0910	910	cr3bp_rkf45_step_3d	cr3bp_rkf45_step_3d	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/cr3bp/cr3bp_rkf45_step_3d.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0921	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0921	921	cr3bp_bisect_collinear	cr3bp_bisect_collinear	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/lagrange/cr3bp_bisect_collinear.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0922	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0922	922	cr3bp_collinear_bracket	cr3bp_collinear_bracket	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/lagrange/cr3bp_collinear_bracket.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0924	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0924	924	cr3bp_collinear_roots	cr3bp_collinear_roots	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/lagrange/cr3bp_collinear_roots.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0927	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0927	927	cr3bp_collinear_bracket	bisect_scalar	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/math/bisect_scalar.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0928	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0928	928	cr3bp_rkf45_step_2d	rkf45_param	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/math/rkf45_param.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0929	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0929	929	cr3bp_rkf45_step_2d	rkf45_step_param	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_cr3bp_scilab/scilab/math/rkf45_step_param.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0943	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0943	943	cw_propagate	cw_propagate	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/cw_equations.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0961	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0961	961	linrel_propagate_with_ref_rk4	linrel_propagate_with_ref_rk4	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/linearized_relative.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0962	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0962	962	linrel_propagate_with_ref_rkf45	linrel_propagate_with_ref_rkf45	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/linearized_relative.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0984	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0984	984	twobody_propagate_rk4	twobody_propagate_rk4	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/two_body_basic.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0985	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0985	985	twobody_propagate_rkf45	twobody_propagate_rkf45	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section02_cw_scilab/src/two_body_basic.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_0997	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_0997	997	j2_propagate_cartesian	j2_propagate_cartesian	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section08_j2_sso_molniya_scilab/src/j2_cartesian_propagation.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_1004	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1004	1004	j2_kepler_e_from_m	j2_kepler_E_from_M	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section08_j2_sso_molniya_scilab/src/j2_kepler_coe.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_1014	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1014	1014	j2_latitude_crossing_roots	j2_latitude_crossing_roots	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section08_j2_sso_molniya_scilab/src/j2_molniya.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_1019	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1019	1019	j2_propagate_mean_elements	j2_propagate_mean_elements	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section08_j2_sso_molniya_scilab/src/j2_rates_and_accel.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
aerocodex.external_m07_resolution.v1	a30_solver_policy_wave3_row_1026	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/m07_formula_family_classifier.csv	PORT_STATUS_RELEASE_GATE.csv:row_1026	1026	j2_propagate_cartesian	j2_rkf45	source_scilab/Orbital Mechanics for Engineering Students/curtis_complete_unique_sections_scilab_library/curtis_complete_unique_sections_scilab_library/curtis_section08_j2_sso_molniya_scilab/src/j2_rkf45.sci	iterative_solver	blocked_until_solver_policy	9C_kepler_lambert_gauss_solver_policy_or_10B_numerical_propagation_policy											research_required	blocked_until_iteration_root_selection_and_equivalence_policy	Classifier row remains blocked until solver iteration limits, root selection, branch handling, convergence failure states, tolerance policy, source registry, and independent equivalence oracles are explicitly approved; no runtime alias or implementation claim is made in A30.
