schema_version	resolution_id	source_artifact_id	classifier_path	source_row_locator	source_row_number	rust_function_alias	scilab_function_alias	source_file_locator	formula_family	risk_tier	recommended_chunk_group	target_formula_id	target_resolution_id	target_batch_manifest	target_package	target_crate_name	target_runtime_symbol	target_runtime_path	target_contract_path	target_validation_card_path	target_source_seed_path	validation_status	disposition	block_reason
aerocodex.external_m07_resolution.v1	resolution.external_m07.unit_conversion.0047	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0047	47	to_canonical_distance	foa_ch01_ast_to_canonical_distance	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci	unit_conversion	low_risk_candidate	8D_deduplicated_unit_conversion_helpers	formula_vault.m00.canonical.distance_to_canonical	resolution.formula_vault.m00.canonical.distance_to_canonical	equation-batches/m00-canonical-units.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_distance_to_canonical	aero_codex_astrodynamics::m00_distance_to_canonical	formula-vault/contracts/m00_canonical_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_canonical_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_canonical_unit_conversions.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.unit_conversion.0048	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0048	48	from_canonical_distance	foa_ch01_ast_from_canonical_distance	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci	unit_conversion	low_risk_candidate	8D_deduplicated_unit_conversion_helpers	formula_vault.m00.canonical.distance_from_canonical	resolution.formula_vault.m00.canonical.distance_from_canonical	equation-batches/m00-canonical-units.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_distance_from_canonical	aero_codex_astrodynamics::m00_distance_from_canonical	formula-vault/contracts/m00_canonical_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_canonical_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_canonical_unit_conversions.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.unit_conversion.0049	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0049	49	to_canonical_time	foa_ch01_ast_to_canonical_time	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci	unit_conversion	low_risk_candidate	8D_deduplicated_unit_conversion_helpers	formula_vault.m00.canonical.time_to_canonical	resolution.formula_vault.m00.canonical.time_to_canonical	equation-batches/m00-canonical-units.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_time_to_canonical	aero_codex_astrodynamics::m00_time_to_canonical	formula-vault/contracts/m00_canonical_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_canonical_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_canonical_unit_conversions.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.unit_conversion.0050	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0050	50	from_canonical_time	foa_ch01_ast_from_canonical_time	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci	unit_conversion	low_risk_candidate	8D_deduplicated_unit_conversion_helpers	formula_vault.m00.canonical.time_from_canonical	resolution.formula_vault.m00.canonical.time_from_canonical	equation-batches/m00-canonical-units.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_time_from_canonical	aero_codex_astrodynamics::m00_time_from_canonical	formula-vault/contracts/m00_canonical_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_canonical_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_canonical_unit_conversions.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.unit_conversion.0051	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0051	51	to_canonical_speed	foa_ch01_ast_to_canonical_speed	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci	unit_conversion	low_risk_candidate	8D_deduplicated_unit_conversion_helpers	formula_vault.m00.canonical.speed_to_canonical	resolution.formula_vault.m00.canonical.speed_to_canonical	equation-batches/m00-canonical-units.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_speed_to_canonical	aero_codex_astrodynamics::m00_speed_to_canonical	formula-vault/contracts/m00_canonical_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_canonical_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_canonical_unit_conversions.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.unit_conversion.0052	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0052	52	from_canonical_speed	foa_ch01_ast_from_canonical_speed	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci	unit_conversion	low_risk_candidate	8D_deduplicated_unit_conversion_helpers	formula_vault.m00.canonical.speed_from_canonical	resolution.formula_vault.m00.canonical.speed_from_canonical	equation-batches/m00-canonical-units.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_speed_from_canonical	aero_codex_astrodynamics::m00_speed_from_canonical	formula-vault/contracts/m00_canonical_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_canonical_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_canonical_unit_conversions.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.unit_conversion.0053	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0053	53	to_canonical_mu	foa_ch01_ast_to_canonical_mu	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch01_scilab_astrodynamics/src/units/ast_ch1_constants_units.sci	unit_conversion	low_risk_candidate	8D_deduplicated_unit_conversion_helpers	formula_vault.m00.canonical.mu_from_units	resolution.formula_vault.m00.canonical.mu_from_units	equation-batches/m00-canonical-units.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_canonical_mu_from_units	aero_codex_astrodynamics::m00_canonical_mu_from_units	formula-vault/contracts/m00_canonical_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_canonical_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_canonical_unit_conversions.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.unit_conversion.0114	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0114	114	ch2_deg2rad	foa_ch02_ast_deg2rad	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci	unit_conversion	low_risk_candidate	8D_deduplicated_unit_conversion_helpers	formula_vault.m00.angle.deg2rad	resolution.formula_vault.m00.angle.deg2rad	equation-batches/m00-angle-vector.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_degrees_to_radians	aero_codex_astrodynamics::m00_degrees_to_radians	formula-vault/contracts/m00_angle_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_angle_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_angle_unit_conversions.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.unit_conversion.0115	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0115	115	ch2_rad2deg	foa_ch02_ast_rad2deg	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci	unit_conversion	low_risk_candidate	8D_deduplicated_unit_conversion_helpers	formula_vault.m00.angle.rad2deg	resolution.formula_vault.m00.angle.rad2deg	equation-batches/m00-angle-vector.tsv	aero-codex-astrodynamics	aero_codex_astrodynamics	m00_radians_to_degrees	aero_codex_astrodynamics::m00_radians_to_degrees	formula-vault/contracts/m00_angle_unit_conversions_contract.yaml	validation/cards/validation_formula_vault_m00_angle_unit_conversions.yaml	validation/source_registry/source_formula_vault_m00_angle_unit_conversions.yaml	research_required	deduplicated_alias_to_existing_runtime	not_applicable_existing_runtime_and_contract_reused
aerocodex.external_m07_resolution.v1	resolution.external_m07.unit_conversion.0121	stage4.m07_rust_port_v14.2026_06_15	docs/source_intake/m07_formula_family_classifier/low_risk_candidate_shortlist.csv	PORT_STATUS_RELEASE_GATE.csv:row_0121	121	earth_rotation_rate_canonical	foa_ch02_ast_earth_rotation_rate_canonical	Bate, Mueller, and White - Fundamentals of Astrodynamics/fundamentals_astrodynamics_scilab_cleaned_all/fundamentals_astrodynamics_scilab_cleaned_all/namespaced/ch02_scilab_astrodynamics/src/core/ast_ch2_core.sci	unit_conversion	low_risk_candidate	8D_deduplicated_unit_conversion_helpers											research_required	blocked_missing_angular_rate_contract_and_runtime	earth_rotation_rate_requires_explicit_angular_rate_unit_contract_and_governed_runtime
